"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.060899625E0,-5.602692403E-2,6.950809085E-3,-9.745203495E-2
3.070842625E0,-5.191757396E-2,1.244579852E-3,-1.033460283E-1
3.080785625E0,-5.550454840E-2,-1.652075965E-2,-6.794523060E-2
3.090727625E0,-5.218216047E-2,-2.530802842E-2,-5.502990067E-2
3.100670625E0,-4.160849422E-2,-2.342336118E-2,-1.022572768E-1
3.110613625E0,-3.098052196E-2,-3.194041550E-4,-1.464072633E-1
3.120556625E0,-3.725889668E-2,3.051888429E-2,-1.537893730E-1
3.130499625E0,-4.858137198E-2,4.080063743E-2,-9.652057350E-2
3.140442625E0,-7.010782331E-2,2.564760547E-2,-1.958817244E-2
3.150385625E0,-8.572310507E-2,-2.567987479E-3,-3.652755618E-3
3.160328625E0,-8.366400808E-2,-9.932738319E-3,-5.614437997E-2
3.170271625E0,-6.854398549E-2,-5.941428915E-3,-1.390830410E-1
3.180213625E0,-4.670741245E-2,2.235273600E-2,-1.904461527E-1
3.190156625E0,-1.899307206E-2,3.061686169E-2,-1.519422376E-1
3.200099625E0,-6.852425113E-3,1.909547143E-2,-7.280952930E-2
3.210042625E0,-7.560815290E-3,-1.738157943E-2,-4.176841557E-2
3.219985625E0,9.071224183E-3,-2.813322030E-2,-1.095230269E-1
3.229928625E0,-5.086931437E-3,-1.455302540E-2,-2.171959949E-1
3.239871625E0,-2.106254786E-2,1.136501379E-2,-2.863434130E-1
3.249814625E0,-3.119526096E-2,2.614684805E-2,-2.189770567E-1
3.259756625E0,-3.549245283E-2,9.607962035E-3,-7.283818066E-2
3.269699625E0,-3.291017622E-2,-1.578740917E-2,7.163423896E-3
3.279642625E0,-4.893498234E-2,-1.547681239E-2,-4.649705887E-3
3.289585625E0,-6.304577552E-2,2.597563427E-2,-7.625587821E-2
3.299528625E0,-9.143992782E-2,6.117649376E-2,-1.205181313E-1
3.309471625E0,-1.057236524E-1,6.914475035E-2,-1.305718338E-1
3.319414625E0,-9.980627015E-2,6.457876928E-2,-1.193106812E-1
3.329357625E0,-7.589437410E-2,5.044590287E-2,-1.050101459E-1
3.339300625E0,-5.645501330E-2,6.221634798E-2,-9.089145899E-2
3.349242625E0,-2.809711374E-2,7.915585963E-2,-9.049267888E-2
3.359185625E0,-1.759873040E-2,8.391680880E-2,-9.250762939E-2
3.369128625E0,-2.540432476E-2,7.679130044E-2,-8.694751203E-2
3.379071625E0,-3.018625081E-2,4.416961122E-2,-7.675990820E-2
3.389014625E0,-3.517012507E-2,6.974156834E-3,-9.860042810E-2
3.398957625E0,-4.310874358E-2,-2.635277968E-2,-1.169677019E-1
3.408900625E0,-4.609345481E-2,-6.755207844E-2,-1.383462918E-1
3.418843625E0,-4.954996325E-2,-1.020883653E-1,-1.612539285E-1
3.428785625E0,-4.690914139E-2,-1.232864955E-1,-1.531198668E-1
3.438728625E0,-4.607255101E-2,-1.485016263E-1,-1.647663510E-1
3.448671625E0,-4.112982653E-2,-1.347476595E-1,-1.572123331E-1
3.458614625E0,-4.648529135E-2,-1.158828424E-1,-1.295228434E-1
3.468557625E0,-4.120028548E-2,-8.459567053E-2,-1.383088696E-1
3.478500625E0,-4.306569345E-2,-3.570083298E-2,-1.214191872E-1
3.488443625E0,-5.815319091E-2,1.379402027E-2,-4.986096203E-2
3.498383458E0,-5.292607248E-2,6.671464752E-2,-6.158112109E-2
3.508325458E0,-5.463177837E-2,1.075693991E-1,-1.430316657E-1
3.518268458E0,-3.371248730E-2,1.402368062E-1,-1.659229302E-1
3.528211458E0,-1.149526052E-2,1.517486948E-1,-1.432819265E-1
3.538154458E0,-2.255563438E-3,1.325887578E-1,-1.362097192E-1
3.548097458E0,-2.111795023E-3,1.059259295E-1,-1.063269389E-1
3.558040458E0,-2.760762870E-2,7.122705348E-2,-7.293056667E-2
3.567983458E0,-3.547666535E-2,4.569891393E-2,-4.340095818E-2
3.577926458E0,-5.909788169E-2,7.004708536E-3,-6.791073203E-2
3.587869458E0,-5.216030650E-2,-1.851115186E-2,-1.045634186E-1
3.597811458E0,-4.996160723E-2,-4.221638538E-2,-1.317535561E-1
3.607754458E0,-5.326396845E-2,-6.962853435E-2,-1.670286387E-1
3.617697458E0,-5.368021712E-2,-6.360268626E-2,-1.697358996E-1
3.627640458E0,-5.822028771E-2,-4.932586871E-2,-1.368751323E-1
3.637583458E0,-5.613093138E-2,-4.721085772E-2,-7.894501269E-2
3.647526458E0,-6.303861268E-2,-3.248574145E-2,-5.754537284E-2
3.657469458E0,-7.168803334E-2,-1.627901383E-2,-6.580573440E-2
3.667412458E0,-7.848944150E-2,-4.023615271E-4,-8.050154150E-2
3.677354458E0,-7.736553356E-2,1.476436570E-2,-1.022970378E-1
3.687297458E0,-7.095998190E-2,1.449334726E-2,-1.109848309E-1
